"label_name","album_name","token","code","activationDate","status","mapped","createdAt","updatedAt"
"Waleed Tahir","Best Album Ever","2604eb6572999f2c20af3e817d91e97a994","424106","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.409Z","2025-01-02T08:14:45.409Z"
"Waleed Tahir","Best Album Ever","42bdbedf9b08aa7d3045dc27c97e3caa341","146298","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.410Z","2025-01-02T08:14:45.410Z"
"Waleed Tahir","Best Album Ever","57392172cac03ed4e14b95b19e5ab5ea258","934701","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.410Z","2025-01-02T08:14:45.410Z"
"Waleed Tahir","Best Album Ever","c87bd95db6d6fba8920540e628ea5807990","465611","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.410Z","2025-01-02T08:14:45.410Z"
"Waleed Tahir","Best Album Ever","7fa7f5d476dd9494ac23ce552b5ce67b385","557620","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.411Z","2025-01-02T08:14:45.411Z"
"Waleed Tahir","Best Album Ever","6ae87eb8cca13499b10f0701e16b920f834","858475","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.411Z","2025-01-02T08:14:45.411Z"
"Waleed Tahir","Best Album Ever","45a19fe2d34f96f6a5560a5ea2e755bf500","388442","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.411Z","2025-01-02T08:14:45.411Z"
"Waleed Tahir","Best Album Ever","48d3c01ab4a6bb2c56f21ddfcbd7787e372","939414","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.411Z","2025-01-02T08:14:45.411Z"
"Waleed Tahir","Best Album Ever","bfed8a331a82e26d8423994d28bbaf89889","235427","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.412Z","2025-01-02T08:14:45.412Z"
"Waleed Tahir","Best Album Ever","8353152c5923e864c0c77e0ab15f6270654","944684","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.412Z","2025-01-02T08:14:45.412Z"
"Waleed Tahir","Best Album Ever","293c2e2309383f5ab3ee5a8da233c236443","728889","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.412Z","2025-01-02T08:14:45.412Z"
"Waleed Tahir","Best Album Ever","4e50c056e031a2f6b06a4f6f976e26c3631","429582","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.413Z","2025-01-02T08:14:45.413Z"
"Waleed Tahir","Best Album Ever","c8381741db36b7bcbef7cc1865da8f35643","647457","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.413Z","2025-01-02T08:14:45.413Z"
"Waleed Tahir","Best Album Ever","2e3e1e80ef1a9459d434eb49ffa029db409","277182","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.413Z","2025-01-02T08:14:45.413Z"
"Waleed Tahir","Best Album Ever","a0508f34e13b3ba795b38c92bc70a6cd820","827731","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.413Z","2025-01-02T08:14:45.413Z"
"Waleed Tahir","Best Album Ever","541cb4cff082721e762c5ae37c941655543","827636","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.413Z","2025-01-02T08:14:45.413Z"
"Waleed Tahir","Best Album Ever","c914e96f3960361d3002ec1cbe3c8f2b982","325164","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.413Z","2025-01-02T08:14:45.413Z"
"Waleed Tahir","Best Album Ever","d8496822c5e0827bdeda730ffdb10270470","684147","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.414Z","2025-01-02T08:14:45.414Z"
"Waleed Tahir","Best Album Ever","91a578d7fc32c42e50da4a6f8d7f5306177","685342","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.414Z","2025-01-02T08:14:45.414Z"
"Waleed Tahir","Best Album Ever","636886d8d0e131f0aaa935844a9ccbef418","780144","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.414Z","2025-01-02T08:14:45.414Z"
"Waleed Tahir","Best Album Ever","85033f38decdbf03c41d5bb6b91da58e833","614780","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.414Z","2025-01-02T08:14:45.414Z"
"Waleed Tahir","Best Album Ever","3192fae1e56078c5ca79e49b221c01e038","369269","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.414Z","2025-01-02T08:14:45.414Z"
"Waleed Tahir","Best Album Ever","b9e4cc34bc483b6e37edc3bcc397f1ce902","930391","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.414Z","2025-01-02T08:14:45.414Z"
"Waleed Tahir","Best Album Ever","054bc42b62f4ec390e65c97fc99cdf6297","126878","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.414Z","2025-01-02T08:14:45.414Z"
"Waleed Tahir","Best Album Ever","292e43fd65d88349f0d9debe574107bf430","276566","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.414Z","2025-01-02T08:14:45.414Z"
"Waleed Tahir","Best Album Ever","34a7d34833239d86fcdc02132a13d8e4916","342140","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.414Z","2025-01-02T08:14:45.414Z"
"Waleed Tahir","Best Album Ever","8bf9bee99a53d6c8ef48032ef77480e979","471881","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.414Z","2025-01-02T08:14:45.414Z"
"Waleed Tahir","Best Album Ever","2cd64b3b551762b0148444ba36b1a18c482","759040","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","22a5568592a8f8540abde481cda8fa58823","739352","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","5a1046a253a10d67281e9a4bd4e29690965","622244","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","ec1b8b118ba7415bea8a541525fd2b9486","302467","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","cc3a725f0853f604ffa0fdfb0b6fec2c540","897496","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","c8b1504f310cd527ccb5af6ffd3e5e64373","358828","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","92ffc391b6eb09bdb68a0f87066820ad411","667342","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","a9aa9442fbd2d2448b152070a8ec965e855","529340","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","a0a5736fa05aac84755c9ba5e132c69f6","149482","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","b0bb6b1d19bcb2fb4df594c36ea6ab23596","795517","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","0e9ebf86acfa641155104ffbcc3b11eb5","613882","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","32e47015caa682ebb7c29ca6b156063a852","439791","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","018bf5b516cdc5378dbcbf95f5900d3a837","481446","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.415Z","2025-01-02T08:14:45.415Z"
"Waleed Tahir","Best Album Ever","8938b9f50021c171d0c5999993619921493","375712","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.416Z","2025-01-02T08:14:45.416Z"
"Waleed Tahir","Best Album Ever","b3e46f65409934a703545e7e76b155c1566","252925","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.416Z","2025-01-02T08:14:45.416Z"
"Waleed Tahir","Best Album Ever","2317410f2a0c2b7e4dc52e96bbc4d5a6900","729886","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.416Z","2025-01-02T08:14:45.416Z"
"Waleed Tahir","Best Album Ever","2f39456e69f811b9dc226aa54a04fba4317","768403","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.416Z","2025-01-02T08:14:45.416Z"
"Waleed Tahir","Best Album Ever","d41a956bd4a09abb20f3f26d1db75dc7323","186644","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.416Z","2025-01-02T08:14:45.416Z"
"Waleed Tahir","Best Album Ever","2cf08cb71f2dd0ecd4abf7f1058a1dbc18","154968","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.416Z","2025-01-02T08:14:45.416Z"
"Waleed Tahir","Best Album Ever","f7bd450015d5ef47d57114b2ce643e69262","728448","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.416Z","2025-01-02T08:14:45.416Z"
"Waleed Tahir","Best Album Ever","6360d3003e13970ecf2de22d044f2414398","849122","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.416Z","2025-01-02T08:14:45.416Z"
"Waleed Tahir","Best Album Ever","508a5479812f109fd08646e83975871d751","146715","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.416Z","2025-01-02T08:14:45.416Z"
"Waleed Tahir","Best Album Ever","ae79408e340b3edbd42b0702e1e8f04b63","550359","Thu Jan 02 2025 08:14:45 GMT+0000 (Coordinated Universal Time)","active",false,"2025-01-02T08:14:45.416Z","2025-01-02T08:14:45.416Z"
